代码,    名称,涨幅%,现价,涨跌,涨速%,DDE净量,总手,换手%,量比,买入信号,利好,利空,所属行业,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,振幅%,金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
SH603100,N川仪,44.05,9.68,2.96,0,0,244298,0.244,--,1,无,无,金属制品,1000↓,8.06,6.72,9.68,8.06,9.68,--,--,--,45940902,0,100,24.11,2363995,9270.57,255,958,0,244298,--,--,--
SH600653,申华控股,10.18,3.03,0.28,0,-0.13,5430831,0.311,0.52,8,无,无,交运设备服务,500↓,3.03,2.75,3.03,3.03,3.03,--,--,--,37966069,0,100,0,16455417,21260.23,774,7017,0,5430831,--,--,--
SH600239,云南城投,10.1,5.56,0.51,0,-0.65,115122011,13.98,4.74,0,有,无,房地产开发,3800↓,5.24,5.05,5.56,5.15,5.56,--,--,--,1131227,0,100,8.12,619679090,17995.62,34435,3343,62256184,52865827,--,--,--
SH600157,永泰能源,10.07,4.59,0.42,0,0.65,768898800,25.52,1.76,1,有,有,煤炭开采,500↓,4.4,4.17,4.59,4.35,4.59,--,--,--,26131328,0,100,5.76,3490251800,30630.48,113947,6748,341082000,427816800,--,--,--
SH600787,中储股份,10.04,14.47,1.32,0,-0.1,3993536,0.475,0.34,7,无,无,物流,1000↓,14.47,13.15,14.47,14.47,14.47,--,--,--,13653026,0,100,0,57786465,45644.92,1266,3154,0,3993536,--,--,--
SZ000935,四川双马,10.04,6.25,0.57,0,5.03,21952104,11.62,2.53,2,无,无,建筑材料,95014↓,5.69,5.68,6.25,5.65,6.25,--,--,--,6387336,0,100,10.56,134523130,20622.89,6523,3365,5415562,16536542,--,--,--
SZ300390,天华超净,10.03,16.24,1.48,0,0,22350,0.143,1.29,0,无,无,其他电子,500↓,16.24,14.76,16.24,16.24,16.24,--,--,--,10978250,0,100,0,362964,6721.56,54,414,0,22350,--,--,--
SH600206,有研新材,10.02,13.18,1.2,0,0,567732,0.131,0.09,0,无,无,半导体及元件,600↓,13.18,11.98,13.18,13.18,13.18,--,--,--,7159168,0,100,0,7482708,25891.72,289,1964,0,567732,--,--,--
SZ300220,金运激光,10.02,34.27,3.12,0,1.42,4423322,12.2,3.36,6,无,无,其他电子,5700↓,31.15,31.15,34.27,30.92,34.27,--,--,--,233022,0,100,10.75,146895430,32506.18,4519,979,2419934,2003388,--,--,--
SZ300100,双林股份,10.01,7.36,0.67,0,0,73949,0.028,0.06,9,有,无,汽车零部件,300↓,7.36,6.69,7.36,7.36,7.36,--,--,--,9381051,0,100,0,544265,2069.45,263,281,0,73949,--,--,--
SZ002552,宝鼎重工,10.01,9.12,0.83,0,1.84,9306743,5.53,1.51,8,有,无,通用机械,9100↓,8.99,8.29,9.12,8.85,9.12,--,--,--,5270316,0,100,3.26,84742596,30071.89,2818,3303,914748,8391995,--,--,--
SZ000050,深天马Ａ,10.01,18.68,1.7,0,1.45,44653691,7.78,0.69,3,无,无,光学光电子,64399↓,17.47,16.98,18.68,17.21,18.68,--,--,--,5114064,0,100,8.66,809247770,37757.09,21433,2083,24560304,20093387,--,--,--
SZ300391,康跃科技,10.01,17.15,1.56,0,0,14200,0.085,0.42,1,无,无,汽车零部件,500↓,17.15,15.59,17.15,17.15,17.15,--,--,--,8162100,0,100,0,243530,6244.36,39,364,0,14200,--,--,--
SZ300384,三联虹普,10.01,53.43,4.86,0,0,35901,0.269,1.14,1,无,无,建筑装饰,500↓,53.43,48.57,53.43,53.43,53.43,--,--,--,2729799,0,100,0,1918190,19573.37,98,366,0,35901,--,--,--
SZ300389,艾比森,10,32.11,2.92,0,0,7800,0.05,0.38,1,无,无,光学光电子,100↓,32.11,29.19,32.11,32.11,32.11,--,--,--,7347100,0,100,0,250458,12522.9,20,390,0,7800,--,--,--
SZ002635,安洁科技,10,35.19,3.2,0,-0.43,6257278,10.05,2.96,3,有,有,电子制造,2300↓,35.19,31.99,35.19,34.5,35.19,--,--,--,813439,0,100,2.16,219611880,34809.3,6309,992,2359575,3897703,--,--,--
SZ300142,沃森生物,10,35.42,3.22,0,-0.05,2504752,1.59,1.26,1,无,无,生物制品,1500↓,35.3,32.2,35.42,34.68,35.42,--,--,--,1251460,0,100,2.3,88294503,46203.3,1911,1311,1210436,1294316,--,--,--
SZ002728,台城制药,10,26.84,2.44,0,0,54198,0.217,1.07,0,无,无,中药,1200↓,26.84,24.4,26.84,26.84,26.84,--,--,--,9458902,0,100,0,1454674,10032.24,145,374,0,54198,--,--,--
SZ002374,丽鹏股份,10,11.66,1.06,0,0.32,1384536,1.11,0.26,0,无,无,包装印刷,13900↓,11.66,10.6,11.66,11.66,11.66,--,--,--,5318740,0,100,0,16143689,28776.63,561,2468,0,1384536,--,--,--
SH600556,北生药业,10,7.7,0.7,0,-0.11,1094378,0.277,4.04,0,无,无,综合,400↓,7.7,7,7.7,7.7,7.7,--,--,--,13151822,0,100,0,8426711,39012.55,216,5067,0,1094378,--,--,--
SH600408,安泰集团,10,3.08,0.28,0,0.21,93943391,9.33,4.25,2,无,无,煤炭开采,300↓,2.81,2.8,3.08,2.8,3.08,--,--,--,11822307,0,100,10,287563260,22054.09,13039,7205,17071718,76871673,--,--,--
